id,name,price,original_price,discount_rate,rating_average,review_count,quantity_sold,brand,category,url_key
276914773,Bút Chì Phác Thảo Dmast Cao Cấp Chuyên Nghiệp Deli - Độ Cứng Từ 2H - 8B - Vẽ Tranh Mỹ Thuật Họa Chân Dung Độ Đậm Chuẩn,4000,9000,56,0.0,0,30,Deli,Bút chì gỗ,but-chi-phac-thao-dmast-cao-cap-chuyen-nghiep-deli-do-cung-tu-2h-8b-ve-tranh-my-thuat-hoa-chan-dung-do-dam-chuan-p276914773
96616553,Máy Ozone khử mùi khử trùng phòng  15-30m2 Rama R2 - Hàng Chính Hãng,1999000,1999000,0,0.0,0,3,RAMA,Điện Gia Dụng,may-ozone-khu-mui-khu-trung-phong-15-30m2-rama-r2-hang-chinh-hang-p96616553
277552341,"Dây Lò Xo Thông Tắc Cống, Nhà Vệ Sinh 5m 10m – Xử Lý Nghẽn Do Dầu Mỡ, Cơm Thừa Hiệu Quả",290000,290000,0,4.0,2,8,OEM,Nhà Cửa - Đời Sống,day-lo-xo-thong-tac-cong-nha-ve-sinh-5m-10m-xu-ly-nghen-do-dau-mo-com-thua-hieu-qua-p277552341
21973773,Thùng 48 Hộp Sữa dinh dưỡng Hương Dâu Vinamilk ADM (110ml),202000,264000,23,4.8,67,294,Vinamilk,Bách Hóa Online,thung-48-hop-sua-dinh-duong-huong-dau-vinamilk-adm-110ml-p21973773
54764119,"Kéo Cắt Gà, Cắt Vải, Cắt Cá, Cắt Cua Đa Năng Nhà Bếp Làm Bằng Thép Cao Cấp Aurum Group K304 - Hàng Nhập Khẩu",34333,34333,0,4.6,8,45,OEM,Nhà Cửa - Đời Sống,keo-cat-ga-cat-vai-cat-ca-cat-cua-da-nang-nha-bep-lam-bang-thep-cao-cap-aurum-group-k304-hang-nhap-khau-p54764119
71159586,Nồi Chiên Không Dầu Điện Tử Lock&Lock EJF296BLK (7.2 Lít) - Kèm Chảo Nướng - Hàng Chính Hãng,2193750,5625000,61,4.7,2561,7671,LocknLock,Điện Gia Dụng,noi-chien-khong-dau-dien-tu-lock-lock-ejf296blk-7-2-lit-kem-chao-nuong-hang-chinh-hang-p71159586
73851449,Dr.SLUMP Ultimate Edition - Tập 4,59400,60000,1,5.0,20,145,No Brand,Root,dr-slump-ultimate-edition-tap-4-p73851449
277597771,Thùng Sữa Bột Pha Sẵn Cho Người Tiểu Đường Värna Diabetes (24 Chai X 237ml) - GI Thấp Ổn Định Đường Huyết,883000,1360000,35,5.0,2,114,Värna,Root,sua-bot-pha-san-v-rna-diabetes-chai-237ml-p277597771
755382,Bàn Vây Lớn Có Cờ Liên Hiệp Thành BVLCC,152000,152000,0,3.6,17,168,Liên Hiệp Thành,Đồ Chơi - Mẹ & Bé,ban-vay-lon-co-co-lien-hiep-thanh-bvlcc-p755382
278101679,"Váy Ngủ Sexy Đẹp Quyến Rũ Và Gợi Cảm,Set Đồ Ngủ Gợi Cảm, Mềm Mại, Co Dãn Sexy, Váy Ngủ Gợi Cảm C026",109000,109000,0,0.0,0,0,OEM,Root,vay-ngu-sexy-dep-quyen-ru-va-goi-cam-set-do-ngu-goi-cam-mem-mai-co-dan-sexy-vay-ngu-goi-cam-c026-p278101679
